date,fund,growth
2022-05-16,Combined Maximum-Sharpe (base),1.8407101022250185
2022-05-17,Combined Maximum-Sharpe (base),1.8534122614028627
2022-05-18,Combined Maximum-Sharpe (base),1.7949761811762808
2022-05-19,Combined Maximum-Sharpe (base),1.7955917974006639
2022-05-20,Combined Maximum-Sharpe (base),1.7977625724244752
2022-05-23,Combined Maximum-Sharpe (base),1.823715113719331
2022-05-24,Combined Maximum-Sharpe (base),1.829067902643521
2022-05-25,Combined Maximum-Sharpe (base),1.8519450633926398
2022-05-26,Combined Maximum-Sharpe (base),1.8688987207909882
2022-05-27,Combined Maximum-Sharpe (base),1.9033039605629003
2022-05-31,Combined Maximum-Sharpe (base),1.8721118786080888
2022-06-01,Combined Maximum-Sharpe (base),1.8706439470969587
2022-06-02,Combined Maximum-Sharpe (base),1.873407747451975
2022-06-03,Combined Maximum-Sharpe (base),1.8802917583809982
2022-06-06,Combined Maximum-Sharpe (base),1.8744296306806192
2022-06-07,Combined Maximum-Sharpe (base),1.9030711628275823
2022-06-08,Combined Maximum-Sharpe (base),1.8890916082768665
2022-06-09,Combined Maximum-Sharpe (base),1.8423742167781278
2022-06-10,Combined Maximum-Sharpe (base),1.8192816340219402
2022-06-13,Combined Maximum-Sharpe (base),1.7441237782240884
2022-06-14,Combined Maximum-Sharpe (base),1.7299576103077492
2022-06-15,Combined Maximum-Sharpe (base),1.721347009861905
2022-06-16,Combined Maximum-Sharpe (base),1.6833658988775184
2022-06-17,Combined Maximum-Sharpe (base),1.6449053593239975
2022-06-21,Combined Maximum-Sharpe (base),1.7053852060636432
2022-06-22,Combined Maximum-Sharpe (base),1.6960848947073879
2022-06-23,Combined Maximum-Sharpe (base),1.6969887414357954
2022-06-24,Combined Maximum-Sharpe (base),1.729398804355315
2022-06-27,Combined Maximum-Sharpe (base),1.7509279859222489
2022-06-28,Combined Maximum-Sharpe (base),1.7556307259813628
2022-06-29,Combined Maximum-Sharpe (base),1.7434902104846648
2022-06-30,Combined Maximum-Sharpe (base),1.7313158980516208
2022-07-01,Combined Maximum-Sharpe (base),1.7520688104951203
2022-07-05,Combined Maximum-Sharpe (base),1.7280598688476114
2022-07-06,Combined Maximum-Sharpe (base),1.7230935550004378
2022-07-07,Combined Maximum-Sharpe (base),1.7288695090484216
2022-07-08,Combined Maximum-Sharpe (base),1.7295463047048896
2022-07-11,Combined Maximum-Sharpe (base),1.729879610299489
2022-07-12,Combined Maximum-Sharpe (base),1.716113205094138
2022-07-13,Combined Maximum-Sharpe (base),1.710362222750969
2022-07-14,Combined Maximum-Sharpe (base),1.7065765825797008
2022-07-15,Combined Maximum-Sharpe (base),1.7325303303325952
2022-07-18,Combined Maximum-Sharpe (base),1.7126403714136058
2022-07-19,Combined Maximum-Sharpe (base),1.731679706795361
2022-07-20,Combined Maximum-Sharpe (base),1.7171391337877946
2022-07-21,Combined Maximum-Sharpe (base),1.7112067618267026
2022-07-22,Combined Maximum-Sharpe (base),1.7168063625284238
2022-07-25,Combined Maximum-Sharpe (base),1.7466115848312893
2022-07-26,Combined Maximum-Sharpe (base),1.7499403225620869
2022-07-27,Combined Maximum-Sharpe (base),1.7540491728804513
2022-07-28,Combined Maximum-Sharpe (base),1.7643085762459534
2022-07-29,Combined Maximum-Sharpe (base),1.7667924682669929
2022-08-01,Combined Maximum-Sharpe (base),1.7439052266366697
2022-08-02,Combined Maximum-Sharpe (base),1.7338378158643721
2022-08-03,Combined Maximum-Sharpe (base),1.7187691005779449
