ticker,date,sector,n_headlines,vader_mean
AMD,2023-01-19,Tech,3,0.0
AMD,2023-01-20,Tech,5,0.3457
AMD,2023-01-23,Tech,14,0.22387142857142855
AMD,2023-01-24,Tech,10,0.037419999999999995
AMD,2023-01-25,Tech,8,0.0864375
AMD,2023-01-26,Tech,7,0.23741428571428572
AMD,2023-01-27,Tech,10,-0.11945000000000001
AMD,2023-01-30,Tech,9,0.026433333333333326
AMD,2023-01-31,Tech,22,0.07614545454545456
AMD,2023-02-01,Tech,23,0.1501
AMD,2023-02-02,Tech,6,0.07185
AMD,2023-02-03,Tech,8,0.06666249999999999
AMD,2023-02-06,Tech,12,0.31638333333333335
AMD,2023-02-07,Tech,6,0.04146666666666666
AMD,2023-02-08,Tech,4,-0.03962500000000001
AMD,2023-02-09,Tech,4,0.4125
AMD,2023-02-10,Tech,2,0.11960000000000001
AMD,2023-02-13,Tech,7,0.3246571428571428
AMD,2023-02-14,Tech,4,0.45205
AMD,2023-02-15,Tech,2,0.0
AMD,2023-02-16,Tech,7,0.3401714285714285
AMD,2023-02-17,Tech,3,0.18200000000000002
AMD,2023-02-21,Tech,6,0.22995
AMD,2023-02-22,Tech,5,0.25646
AMD,2023-02-23,Tech,16,0.21260625000000002
AMD,2023-02-24,Tech,1,0.0
AMD,2023-02-27,Tech,4,0.24945
AMD,2023-02-28,Tech,2,0.0
AMD,2023-03-01,Tech,2,0.17
AMD,2023-03-02,Tech,7,0.17837142857142857
AMD,2023-03-03,Tech,5,0.37096
AMD,2023-03-06,Tech,6,0.25538333333333335
AMD,2023-03-07,Tech,8,0.09308749999999999
AMD,2023-03-08,Tech,3,0.13396666666666665
AMD,2023-03-09,Tech,6,0.20801666666666666
AMD,2023-03-10,Tech,10,0.21951
AMD,2023-03-13,Tech,3,0.14003333333333332
AMD,2023-03-14,Tech,8,0.2508
AMD,2023-03-15,Tech,3,-0.042666666666666665
AMD,2023-03-16,Tech,10,0.12326999999999999
AMD,2023-03-17,Tech,10,0.21030000000000001
AMD,2023-03-20,Tech,10,0.03695999999999999
AMD,2023-03-21,Tech,7,0.0
AMD,2023-03-22,Tech,7,0.1266857142857143
AMD,2023-03-23,Tech,7,0.3475857142857143
AMD,2023-03-24,Tech,3,0.0
AMD,2023-03-27,Tech,13,0.15735384615384615
AMD,2023-03-28,Tech,6,-0.029633333333333334
AMD,2023-03-29,Tech,2,0.41915
AMD,2023-03-30,Tech,6,0.2131333333333333
AMD,2023-03-31,Tech,5,0.19272
AMD,2023-04-03,Tech,11,0.28567272727272724
AMD,2023-04-04,Tech,7,0.14341428571428572
AMD,2023-04-06,Tech,2,0.24695
AMD,2023-04-10,Tech,12,0.2121333333333333
AMD,2023-04-11,Tech,5,0.26674
AMD,2023-04-12,Tech,4,0.24945
AMD,2023-04-13,Tech,8,-0.0023875000000000007
AMD,2023-04-14,Tech,6,0.12198333333333335
AMD,2023-04-17,Tech,5,0.10584
AMD,2023-04-18,Tech,3,0.3147333333333333
AMD,2023-04-19,Tech,2,-0.15820000000000004
AMD,2023-04-20,Tech,9,0.24355555555555558
AMD,2023-04-21,Tech,5,0.23418
AMD,2023-04-24,Tech,5,0.47850000000000004
AMD,2023-04-25,Tech,6,-0.0076666666666666645
AMD,2023-04-26,Tech,2,0.40080000000000005
AMD,2023-04-27,Tech,7,0.045457142857142856
AMD,2023-04-28,Tech,3,0.21619999999999998
AMD,2023-05-01,Tech,14,0.21005000000000001
AMD,2023-05-02,Tech,16,0.16289375
AMD,2023-05-03,Tech,34,0.1924735294117647
AMD,2023-05-04,Tech,10,0.09186000000000001
